Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.9912280701754386,0.9880952380952381,0.988095238095238,0.9912054752585661,0.003429889678955078
LogisticRegression,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9824561403508771,0.004142045974731445
SVC,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9824561403508771,0.004187107086181641
SGDClassifier,0.9649122807017544,0.9672619047619048,0.9672619047619048,0.9650731808230041,0.0034189224243164062
CalibratedClassifierCV,0.9736842105263158,0.9642857142857143,0.9642857142857143,0.9734654095556351,0.021695852279663086
LinearSVC,0.9649122807017544,0.9623015873015872,0.9623015873015873,0.9649122807017544,0.003888845443725586
Perceptron,0.956140350877193,0.9603174603174602,0.9603174603174603,0.9564299597121931,0.0032939910888671875
RandomForestClassifier,0.956140350877193,0.9503968253968254,0.9503968253968255,0.9560273762928302,0.07401227951049805
ExtraTreesClassifier,0.956140350877193,0.9503968253968254,0.9503968253968255,0.9560273762928302,0.03664112091064453
KNeighborsClassifier,0.956140350877193,0.9503968253968254,0.9503968253968255,0.9560273762928302,0.052268028259277344
QuadraticDiscriminantAnalysis,0.9473684210526315,0.9484126984126984,0.9484126984126983,0.9476097712345061,0.006663084030151367
XGBClassifier,0.956140350877193,0.9454365079365079,0.945436507936508,0.9557756825927252,0.09431719779968262
AdaBoostClassifier,0.956140350877193,0.9454365079365079,0.945436507936508,0.9557756825927252,0.08849835395812988
LinearDiscriminantAnalysis,0.956140350877193,0.9454365079365079,0.945436507936508,0.9557756825927252,0.01453399658203125
LGBMClassifier,0.956140350877193,0.9454365079365079,0.945436507936508,0.9557756825927252,0.25205183029174805
RidgeClassifier,0.956140350877193,0.9404761904761905,0.9404761904761905,0.9554882874504246,0.006036996841430664
RidgeClassifierCV,0.956140350877193,0.9404761904761905,0.9404761904761905,0.9554882874504246,0.003984212875366211
LabelSpreading,0.9385964912280702,0.9365079365079365,0.9365079365079365,0.9387429907553746,0.006544828414916992
LabelPropagation,0.9385964912280702,0.9365079365079365,0.9365079365079365,0.9387429907553746,0.008494138717651367
BernoulliNB,0.9298245614035088,0.9295634920634921,0.9295634920634921,0.9301463616460083,0.006683826446533203
NearestCentroid,0.9385964912280702,0.9265873015873016,0.9265873015873016,0.9380859556298152,0.004765033721923828
NuSVC,0.9385964912280702,0.9265873015873016,0.9265873015873016,0.9380859556298152,0.005797863006591797
BaggingClassifier,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9298245614035088,0.0422358512878418
GaussianNB,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9298245614035088,0.003222942352294922
ExtraTreeClassifier,0.9122807017543859,0.9156746031746033,0.9156746031746031,0.9130211893369787,0.003310680389404297
DecisionTreeClassifier,0.9122807017543859,0.9156746031746033,0.9156746031746031,0.9130211893369787,0.006991863250732422
DummyClassifier,0.631578947368421,0.5,0.5,0.48896434634974534,0.0031092166900634766
